2338,0,0
2321,1375,1398
2275,1390,1391
2289,1377,1397
2389,1377,1395
2662,1379,1407
3725,1386,1396
3600,1376,1402
2413,1381,1392
1987,1366,1401
2026,1387,1393
2025,1374,1399
2028,1381,1400
2071,1377,1415
2096,1378,1397
2105,1367,1405
2132,1385,1390
2150,1375,1398
2184,1381,1398
2170,1376,1400
2261,1373,1394
2277,1380,1409
2267,1380,1393
2305,1376,1404
2289,1373,1395
2288,1370,1405
2271,1371,1396
2224,1372,1399
2173,1377,1399
2139,1376,1399
2173,1378,1401
2098,1380,1397
2090,1381,1401
2018,1380,1399
1968,1378,1393
2017,1373,1402
1969,1371,1401
2017,1371,1389
2004,1367,1400
2069,1378,1402
2064,1368,1402
2036,1369,1397
2021,1364,1397
2047,1379,1393
2010,1370,1404
2043,1375,1392
2079,1374,1401
2032,1372,1396
2070,1364,1408
2067,1380,1390
1993,1375,1402
2022,1371,1396
2077,1367,1404
2075,1374,1394
2158,1368,1403
2186,1384,1395
2110,1372,1395
2044,1378,1383
2032,1371,1399
1995,1375,1394
2063,1372,1398
2019,1376,1389
2026,1377,1395
2015,1375,1394
2063,1373,1400
2195,1378,1390
2511,1370,1398
3696,1380,1396
3217,1368,1394
2197,1382,1391
1857,1378,1394
1872,1368,1399
1911,1371,1399
1967,1375,1398
2119,1373,1393
2128,1371,1392
2117,1369,1398
2143,1374,1392
2144,1374,1396
2192,1374,1392
2189,1373,1396
2145,1378,1390
2215,1374,1394
2253,1372,1396
2205,1372,1392
2195,1363,1399
2222,1375,1390
2174,1373,1397
2121,1385,1388
2107,1374,1398
2023,1376,1393
2000,1372,1391
1979,1375,1389
1950,1371,1398
1963,1377,1394
1942,1371,1398
1936,1372,1400
1968,1358,1401
2003,1378,1390
2000,1372,1400
2037,1379,1399
2021,1367,1399
2059,1370,1391
2109,1373,1397
2081,1380,1394
2101,1362,1402
2120,1373,1395
2025,1374,1391
2006,1371,1399
2043,1374,1387
2126,1372,1406
2114,1378,1387
2096,1365,1405
2102,1382,1400
2179,1369,1400
2175,1374,1395
2239,1369,1402
2131,1382,1392
1983,1364,1401
2074,1373,1391
2042,1377,1402
2071,1378,1393
2080,1365,1399
2055,1377,1394
2047,1367,1397
2074,1375,1391
2439,1364,1400
3327,1383,1392
3819,1369,1396
2451,1376,1390
1936,1363,1405
1936,1377,1391
1891,1376,1395
1911,1376,1394
1951,1369,1394
1978,1385,1394
2039,1380,1398
2029,1379,1396
2079,1369,1401
2111,1380,1388
2155,1376,1397
2221,1371,1399
2122,1373,1405
2234,1372,1401
2212,1380,1402
2250,1383,1402
2225,1376,1395
2098,1369,1396
2225,1382,1403
2131,1378,1398
2096,1379,1407
2090,1380,1399
1945,1384,1400
1984,1378,1396
1935,1378,1401
1907,1381,1391
1919,1381,1398
1930,1376,1406
1994,1382,1402
1904,1375,1394
1873,1386,1401
1903,1381,1401
1867,1378,1402
1919,1375,1405
1887,1374,1402
1873,1384,1405
1907,1375,1401
1891,1384,1405
1998,1375,1406
1985,1378,1403
1964,1380,1409
1919,1382,1402
1856,1382,1402
1989,1385,1399
1910,1381,1403
1977,1375,1416
1998,1386,1401
2097,1384,1410
2141,1383,1403
2086,1374,1413
2096,1389,1406
2071,1385,1416
1917,1393,1404
1971,1380,1413
2039,1385,1406
2085,1389,1419
1975,1398,1411
2037,1393,1415
2160,1403,1424
2339,1396,1430
2931,1407,1438
3891,1412,1443
2613,1418,1446
1949,1426,1467
1812,1431,1464
1863,1438,1482
1915,1455,1491
1933,1467,1521
1895,1490,1535
2039,1512,1568
2007,1533,1589
2096,1570,1634
2071,1606,1679
2047,1645,1729
2105,1700,1788
2179,1757,1861
2172,1823,1935
2143,1891,2007
2160,1976,2116
2193,2067,2219
2129,2175,2339
2138,2276,2488
2089,2415,2639
2143,2575,2829
2063,2758,3046
2117,2956,3281
2000,3172,3537
1968,3393,3799
2038,3627,4083
1907,3874,4386
2065,4167,4743
1973,4530,5172
1967,4964,5699
2101,5420,6248
1982,5852,6745
2002,6207,7184
1998,6528,7549
1922,6803,7900
2032,7105,8268
1973,7469,8722
2030,7927,9286
2000,8383,9857
1986,8802,10351
1943,9186,10817
1968,9505,11204
1968,9806,11612
2013,10173,12087
1966,10695,12765
2122,11460,13745
2087,12411,14938
2157,13566,16382
2115,14853,17971
1949,16112,19514
2047,17326,21052
1934,18552,22583
1919,19993,24412
1878,21706,26562
1875,23667,29038
1909,25826,31707
1999,27934,34315
2027,30144,37065
2262,32027,39275
2740,33052,40479
3627,33473,40943
2459,33664,41243
1870,34472,42405
1784,36441,45002
1776,38790,47893
1813,40977,50614
1875,42707,52719
1866,44334,54818
1895,46545,57609
1878,49812,61842
1948,54672,67971
2066,60935,75826
1904,68778,85490
2016,77205,95653
2042,85658,105992
2003,93716,115552
2071,101389,124518
2073,107792,131651
2165,111757,135929
2096,113142,137146
2089,112174,135905
2078,110472,133953
2081,108915,132305
2023,109028,132863
1959,111583,136264
1937,115473,141094
1877,118214,144256
1930,118793,145051
1902,118678,145104
1875,118267,144894
1900,120360,148000
1953,126940,156326
1947,137386,168974
1967,149005,182224
1941,157772,191347
2025,163113,195920
2031,165475,196871
2031,165854,195470
2016,165007,192936
1978,163887,190434
2027,162592,187961
2030,161417,185968
2047,160578,184869
2000,159864,183887
1968,159210,182715
2003,158616,181336
2016,158127,179884
2069,157795,178641
2113,157604,177808
2155,157361,176745
2114,156711,174558
1953,155172,170711
1979,155243,168623
1958,157751,169993
1840,160878,172347
1898,162826,173740
1889,163663,174373
1917,164483,175188
1948,165905,176539
2077,168181,178612
2347,171543,181521
3163,175468,184662
3309,179784,187968
2269,184229,191180
1730,188254,193942
1747,191840,196301
1831,195142,198378
1772,198415,200561
1831,201585,202657
1881,204491,204545
1867,206787,205975
1840,208409,206965
1987,209726,207804
1970,210955,208630
2032,212141,209426
1974,213216,210165
2101,214181,210821
2011,214999,211303
2128,215483,211552
2151,215764,211670
2135,215915,211742
2113,216013,211774
2096,216075,211813
2118,216126,211875
2059,216137,211920
1947,216126,211999
1928,216105,212066
1928,216060,212104
1903,215992,212126
1910,215969,212207
1889,216062,212331
1950,216186,212451
1931,216316,212543
1941,216491,212691
1965,216704,212857
1975,217015,213027
1993,217359,213195
2022,217649,213381
1959,217893,213490
2081,218051,213591
2002,218274,213700
1966,218500,213863
1984,218764,213984
2013,218985,214118
1993,219207,214224
1977,219410,214342
2021,219561,214413
2037,219737,214512
2094,219876,214578
2054,220005,214662
2059,220129,214711
2091,220213,214767
1984,220240,214767
1894,220212,214750
1920,220155,214711
1838,220063,214632
1887,219898,214526
1893,219665,214364
1904,219296,214092
1819,218856,213831
1877,218589,213718
2179,218407,213575
2853,218019,213267
3451,217643,213024
2486,217341,212795
1795,216936,212422
1727,216268,211814
1744,215469,211039
1759,214248,209673
1805,211373,206379
1739,207181,202486
1870,201829,200940
1963,197720,201152
1978,195094,204383
2001,194808,211247
1991,192038,212760
1978,189061,210620
2112,184887,200912
2123,173388,181319
2198,176302,184297
2162,181308,189048
2196,183029,190606
2182,183896,191699
2138,185375,193436
2106,186442,194690
2124,186716,195131
2013,186253,194858
1962,185133,194070
1964,183904,193263
1989,182774,192617
1967,181761,192019
2009,180528,191197
1978,179175,190223
1989,177385,188724
1970,175196,186869
1990,172422,184353
2090,169666,182083
2081,167945,180734
2103,166713,179795
2083,165512,178816
2060,163856,177387
2030,162322,176235
2086,161428,175667
2035,161371,175997
2045,163406,178621
2064,168107,183183
2001,173017,187270
2077,178037,191022
2131,182431,193900
2197,186149,196246
2198,189595,198312
2300,192835,200171
2175,195230,201533
2022,196960,202493
2045,198307,203272
0,199409,203843
0,200183,204264
0,200854,204595
0,201395,204853
0,201791,205050
0,202166,205254
0,202618,205500
0,203094,205741
0,203514,205941
0,203797,206069
0,203980,206155
0,204136,206204
0,204258,206245
0,204359,206287
0,204464,206330
0,204557,206373
0,204656,206417
0,204787,206474
0,204962,206543
0,205122,206621
0,205291,206684
0,205420,206758
0,205558,206817
0,205733,206886
0,205899,206952
0,206083,207049
0,206252,207100
0,206343,207152
0,206363,207141
0,206286,207099
0,206115,207008
0,205901,206888
0,205589,206752
0,205205,206583
0,204869,206420
577,204547,206269
483,204312,206173
462,204165,206121
569,204103,206094
649,204108,206114
720,204164,206139
787,204228,206177
844,204293,206209
913,204377,206261
961,204466,206300
1008,204526,206307
1063,204566,206314
1111,204601,206332
1148,204659,206341
1227,204717,206373
1579,204793,206403
1909,204861,206430
2320,204897,206435
2882,204923,206440
3565,204931,206428
4095,204907,206412
4095,204896,206388
4095,204840,206365
4095,204798,206340
4095,204735,206297
4095,204667,206277
4095,204581,206225
4095,204504,206179
4095,204440,206147
4095,204410,206127
4095,204409,206138
4095,204420,206115
4095,204389,206102
4095,204320,206060
4095,204260,206036
4095,204205,205987
4095,204175,205975
4095,204189,205974
4095,204236,205985
4095,204260,205995
4095,204231,205960
4095,204175,205934
4095,204130,205904
4095,204068,205857
4095,203991,205831
4095,203929,205787
4095,203871,205745
4095,203824,205719
4095,203836,205721
4095,203874,205731
4095,203944,205763
4095,204036,205783
4095,204121,205827
4095,204163,205832
4095,204130,205812
4095,203974,205718
4095,203711,205582
4095,203327,205385
4095,202907,205190
4095,202518,205012
4095,202183,204862
4048,201879,204717
3699,201628,204591
3472,201485,204533
3329,201453,204526
3307,201490,204549
3141,201566,204586
3125,201672,204645
3037,201788,204693
2993,201912,204753
2903,202042,204813
2823,202187,204882
2744,202315,204953
2606,202437,204995
2538,202571,205051
2496,202696,205125
2483,202842,205181
2476,202949,205223
2469,203046,205244
2439,203115,205285
2334,203170,205303
2268,203197,205317
2256,203205,205306
2145,203201,205303
1991,203189,205284
1989,203164,205280
1911,203143,205259
1920,203129,205269
1831,203146,205255
1887,203155,205272
1853,203196,205277
2166,203222,205297
2960,203259,205299
3049,203317,205334
